Motifs	ATF1_si.HOCOMOCO	Atf1.HOMER	UP00020_1.UNIPROBE	UP00020_2.UNIPROBE	UP00020.1.ZHAO2011	UP00020.2.ZHAO2011	ATF1_1.GUERTIN	ATF1_2.GUERTIN	ATF1_3.GUERTIN	ATF1_4.GUERTIN	Average
ATF1_si.HOCOMOCO	1.0	0.8278001	0.9462829	0.8436517	0.7880723	0.637672140075	0.8707044	0.8	0.5546105	0.594340637839	0.786313467791
Atf1.HOMER	0.8278001	1.0	0.860888	0.928117114445	0.9340384	0.642606657487	0.8354326	0.7034	0.569335336752	0.6281044459	0.792972265458
UP00020_1.UNIPROBE	0.9462829	0.860888	0.999999971324	0.8466765	0.779548442005	0.674286026454	0.846772351835	0.6646536	0.594240450904	0.626150818167	0.783949906069
UP00020_2.UNIPROBE	0.8436517	0.928117114445	0.8466765	1.0	0.893317	0.684148486198	0.81973184405	0.7151084	0.610634660603	0.623945	0.796533070529
UP00020.1.ZHAO2011	0.7880723	0.9340384	0.779548442005	0.893317	0.999999726072	0.710542331723	0.8149238	0.689171	0.623407227177	0.645325746417	0.787834597339
UP00020.2.ZHAO2011	0.637672140075	0.642606657487	0.674286026454	0.684148486198	0.710542331723	0.999999586243	0.641952605522	0.602716229678	0.666208256798	0.6687958085	0.692892812868
ATF1_1.GUERTIN	0.8707044	0.8354326	0.846772351835	0.81973184405	0.8149238	0.641952605522	1.0	0.7478261	0.6109712	0.633218640055	0.782153354146
ATF1_2.GUERTIN	0.8	0.7034	0.6646536	0.7151084	0.689171	0.602716229678	0.7478261	1.0	0.7297297	0.628456	0.728106102968
ATF1_3.GUERTIN	0.5546105	0.569335336752	0.594240450904	0.610634660603	0.623407227177	0.666208256798	0.6109712	0.7297297	1.0	0.568521821187	0.652765915342
ATF1_4.GUERTIN	0.594340637839	0.6281044459	0.626150818167	0.623945	0.645325746417	0.6687958085	0.633218640055	0.628456	0.568521821187	0.999999664626	0.661685858269
